cell,B,N,K,epochs,n_seeds,test_mean,test_std,test_baseline_mean,test_baseline_std,id_test_mean,id_test_std,id_test_baseline_mean,id_test_baseline_std,val_best_mean,val_best_std,n_skills_best_mean
anchor,48,36,4,5,3,0.5499999999999999,0.11666666666666667,0.05555555555555555,0.025458753860865775,0.890625,0.078125,0.3958333333333333,0.03252603124165833,0.8666666666666667,0.059072695328157565,4.0
b24,24,36,4,5,3,0.8388888888888889,0.12619796324000607,0.08888888888888889,0.02545875386086578,0.890625,0.071602745233685,0.390625,0.027063293868263706,0.8708333333333332,0.07324331596352897,2.6666666666666665
b96,96,36,4,5,3,0.6277777777777778,0.06735753140545632,0.1111111111111111,0.02545875386086578,0.8697916666666666,0.023867581744561665,0.3958333333333333,0.07707629472369136,0.8375,0.0,2.0
n16,48,16,4,5,3,0.5777777777777778,0.3417005403262618,0.07222222222222223,0.041943524640393054,0.8229166666666666,0.03252603124165832,0.3854166666666667,0.06505206248331664,0.8458333333333333,0.05051814855409224,4.333333333333333
n72,48,72,4,5,3,0.638888888888889,0.16777409856157222,0.09444444444444444,0.041943524640393054,0.8645833333333334,0.10635717633678196,0.40625,0.046875,0.8624999999999999,0.08660254037844388,4.0
k1,48,36,1,5,3,0.3444444444444445,0.317250923005983,0.08888888888888889,0.00962250448649377,0.734375,0.2312288841710741,0.3854166666666667,0.03932205435036849,0.7083333333333334,0.25041632002194536,1.6666666666666667
k8,48,36,8,5,3,0.5833333333333334,0.1322875655532295,0.061111111111111116,0.00962250448649376,0.84375,0.08267972847076846,0.4010416666666667,0.03932205435036849,0.7999999999999999,0.07603453162872774,5.0
